TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-09-10,2026-09-10,FO,NSE,STO,127729,,SOLARINDS,,2026-10-27,2026-10-27,20250.00,PE,SOLARINDS26OCT20250PE,0.00,0.00,0.00,308.90,308.90,308.90,22370.22,409.54,100,0,0,0.00,0,F1,50,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,127744,,SOLARINDS,,2026-10-27,2026-10-27,24250.00,CE,SOLARINDS26OCT24250CE,0.00,0.00,0.00,237.40,0.00,237.40,22370.22,665.94,0,0,0,0.00,0,F1,50,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,127728,,SOLARINDS,,2026-10-27,2026-10-27,20250.00,CE,SOLARINDS26OCT20250CE,0.00,0.00,0.00,1229.90,0.00,1229.90,22370.22,2694.15,0,0,0,0.00,0,F1,50,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,127726,,SOLARINDS,,2026-10-27,2026-10-27,19750.00,CE,SOLARINDS26OCT19750CE,0.00,0.00,0.00,1461.10,0.00,1461.10,22370.22,3078.33,0,0,0,0.00,0,F1,50,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,127862,,SOLARINDS,,2026-11-23,2026-11-23,23500.00,PE,SOLARINDS26NOV23500PE,0.00,0.00,0.00,3898.60,0.00,3898.60,22370.22,2102.02,0,0,0,0.00,0,F1,50,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,127848,,SOLARINDS,,2026-11-23,2026-11-23,20000.00,PE,SOLARINDS26NOV20000PE,0.00,0.00,0.00,1546.35,0.00,1546.35,22370.22,561.23,0,0,0,0.00,0,F1,50,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,109659,,SOLARINDS,,2026-10-27,2026-10-27,20000.00,PE,SOLARINDS26OCT20000PE,200.00,216.90,200.00,213.15,213.15,270.00,22370.22,350.48,550,350,12,12128867.50,12,F1,50,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,109651,,SOLARINDS,,2026-10-27,2026-10-27,18500.00,PE,SOLARINDS26OCT18500PE,0.00,0.00,0.00,1467.30,0.00,1467.30,22370.22,116.95,0,0,0,0.00,0,F1,50,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,109658,,SOLARINDS,,2026-10-27,2026-10-27,20000.00,CE,SOLARINDS26OCT20000CE,0.00,0.00,0.00,2650.00,2650.00,2650.00,22370.22,2883.05,1600,0,0,0.00,0,F1,50,,,,,
2026-09-10,2026-09-10,FO,NSE,STF,49000,,SOLARINDS,,2026-10-27,2026-10-27,,,SOLARINDS26OCTFUT,22560.00,22650.00,22345.00,22505.00,22545.00,22495.00,22370.22,22505.00,53950,450,81,91268250.00,78,F1,50,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,148908,,SOLARINDS,,2026-09-29,2026-09-29,17000.00,CE,SOLARINDS26SEP17000CE,0.00,0.00,0.00,4950.00,4950.00,4950.00,22370.22,5422.41,50,0,0,0.00,0,F1,50,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,109543,,SOLARINDS,,2026-09-29,2026-09-29,18750.00,CE,SOLARINDS26SEP18750CE,0.00,0.00,0.00,2693.75,2693.75,2693.75,22370.22,3695.68,250,0,0,0.00,0,F1,50,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,109549,,SOLARINDS,,2026-09-29,2026-09-29,20250.00,CE,SOLARINDS26SEP20250CE,0.00,0.00,0.00,2322.30,2322.30,2322.30,22370.22,2313.58,11750,0,0,0.00,0,F1,50,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,148930,,SOLARINDS,,2026-09-29,2026-09-29,20500.00,CE,SOLARINDS26SEP20500CE,1939.00,2100.00,1900.00,1984.00,1984.00,2001.00,22370.22,2104.04,25200,-1900,56,63046182.50,30,F1,50,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,127720,,SOLARINDS,,2026-10-27,2026-10-27,18250.00,CE,SOLARINDS26OCT18250CE,0.00,0.00,0.00,2332.45,0.00,2332.45,22370.22,4362.82,0,0,0,0.00,0,F1,50,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,127872,,SOLARINDS,,2026-11-23,2026-11-23,24000.00,PE,SOLARINDS26NOV24000PE,0.00,0.00,0.00,4303.75,0.00,4303.75,22370.22,2416.16,0,0,0,0.00,0,F1,50,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,127854,,SOLARINDS,,2026-11-23,2026-11-23,21500.00,PE,SOLARINDS26NOV21500PE,0.00,0.00,0.00,2434.65,0.00,2434.65,22370.22,1075.38,0,0,0,0.00,0,F1,50,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,127850,,SOLARINDS,,2026-11-23,2026-11-23,20500.00,PE,SOLARINDS26NOV20500PE,0.00,0.00,0.00,1819.70,0.00,1819.70,22370.22,707.82,0,0,0,0.00,0,F1,50,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,148929,,SOLARINDS,,2026-09-29,2026-09-29,20000.00,PE,SOLARINDS26SEP20000PE,74.55,82.00,60.75,63.95,60.75,71.00,22370.22,63.95,115000,2600,903,906072370.00,719,F1,50,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,148925,,SOLARINDS,,2026-09-29,2026-09-29,19000.00,PE,SOLARINDS26SEP19000PE,33.85,38.60,28.00,30.60,28.00,35.00,22370.22,30.60,48500,1850,1163,1106790512.50,1107,F1,50,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,109534,,SOLARINDS,,2026-09-29,2026-09-29,16250.00,PE,SOLARINDS26SEP16250PE,0.00,0.00,0.00,9.00,9.00,9.00,22370.22,0.11,100,0,0,0.00,0,F1,50,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,127847,,SOLARINDS,,2026-11-23,2026-11-23,20000.00,CE,SOLARINDS26NOV20000CE,0.00,0.00,0.00,1643.45,0.00,1643.45,22370.22,3186.47,0,0,0,0.00,0,F1,50,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,127734,,SOLARINDS,,2026-10-27,2026-10-27,21750.00,CE,SOLARINDS26OCT21750CE,0.00,0.00,0.00,699.70,0.00,699.70,22370.22,1709.67,0,0,0,0.00,0,F1,50,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,109649,,SOLARINDS,,2026-10-27,2026-10-27,18000.00,PE,SOLARINDS26OCT18000PE,0.00,0.00,0.00,1215.45,0.00,1215.45,22370.22,75.52,0,0,0,0.00,0,F1,50,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,109657,,SOLARINDS,,2026-10-27,2026-10-27,19500.00,PE,SOLARINDS26OCT19500PE,0.00,0.00,0.00,179.70,179.70,179.70,22370.22,251.13,400,0,0,0.00,0,F1,50,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,109661,,SOLARINDS,,2026-10-27,2026-10-27,20500.00,PE,SOLARINDS26OCT20500PE,0.00,0.00,0.00,358.80,358.80,358.80,22370.22,475.92,100,0,0,0.00,0,F1,50,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,127844,,SOLARINDS,,2026-11-23,2026-11-23,19000.00,PE,SOLARINDS26NOV19000PE,0.00,0.00,0.00,1072.80,0.00,1072.80,22370.22,331.29,0,0,0,0.00,0,F1,50,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,127846,,SOLARINDS,,2026-11-23,2026-11-23,19500.00,PE,SOLARINDS26NOV19500PE,0.00,0.00,0.00,1297.20,0.00,1297.20,22370.22,435.41,0,0,0,0.00,0,F1,50,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,127856,,SOLARINDS,,2026-11-23,2026-11-23,22000.00,PE,SOLARINDS26NOV22000PE,0.00,0.00,0.00,2773.60,0.00,2773.60,22370.22,1295.95,0,0,0,0.00,0,F1,50,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,127730,,SOLARINDS,,2026-10-27,2026-10-27,20750.00,CE,SOLARINDS26OCT20750CE,0.00,0.00,0.00,1027.05,0.00,1027.05,22370.22,2336.26,0,0,0,0.00,0,F1,50,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,109652,,SOLARINDS,,2026-10-27,2026-10-27,19000.00,CE,SOLARINDS26OCT19000CE,0.00,0.00,0.00,3280.45,3280.45,3280.45,22370.22,3698.82,100,0,0,0.00,0,F1,50,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,109552,,SOLARINDS,,2026-09-29,2026-09-29,20750.00,CE,SOLARINDS26SEP20750CE,1887.00,1910.00,1831.40,1831.40,1831.40,1762.40,22370.22,1902.97,4400,-200,7,7915760.00,4,F1,50,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,109648,,SOLARINDS,,2026-10-27,2026-10-27,18000.00,CE,SOLARINDS26OCT18000CE,0.00,0.00,0.00,1729.80,0.00,1729.80,22370.22,4591.86,0,0,0,0.00,0,F1,50,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,149162,,SOLARINDS,,2026-09-29,2026-09-29,24000.00,CE,SOLARINDS26SEP24000CE,166.75,196.00,135.00,146.25,156.00,167.00,22370.22,146.25,32450,500,675,815552225.00,590,F1,50,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,109558,,SOLARINDS,,2026-09-29,2026-09-29,22250.00,CE,SOLARINDS26SEP22250CE,722.60,820.10,635.45,681.80,699.50,722.60,22370.22,681.80,19500,1450,709,814775940.00,638,F1,50,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,148928,,SOLARINDS,,2026-09-29,2026-09-29,20000.00,CE,SOLARINDS26SEP20000CE,2600.00,2600.00,2400.00,2437.50,2475.00,2447.70,22370.22,2437.50,54150,-150,6,6745410.00,6,F1,50,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,148933,,SOLARINDS,,2026-09-29,2026-09-29,21000.00,PE,SOLARINDS26SEP21000PE,186.80,213.00,156.45,168.30,158.85,186.80,22370.22,168.30,61800,-2950,1057,1119131282.50,864,F1,50,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,109538,,SOLARINDS,,2026-09-29,2026-09-29,17250.00,PE,SOLARINDS26SEP17250PE,0.00,0.00,0.00,11.85,11.85,11.85,22370.22,1.18,350,0,0,0.00,0,F1,50,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,127855,,SOLARINDS,,2026-11-23,2026-11-23,22000.00,CE,SOLARINDS26NOV22000CE,0.00,0.00,0.00,1500.00,1500.00,1500.00,22370.22,1946.70,50,0,0,0.00,0,F1,50,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,127839,,SOLARINDS,,2026-11-23,2026-11-23,18000.00,CE,SOLARINDS26NOV18000CE,0.00,0.00,0.00,2766.50,0.00,2766.50,22370.22,4778.67,0,0,0,0.00,0,F1,50,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,127740,,SOLARINDS,,2026-10-27,2026-10-27,23250.00,CE,SOLARINDS26OCT23250CE,0.00,0.00,0.00,550.00,550.00,550.00,22370.22,998.04,150,0,0,0.00,0,F1,50,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,127835,,SOLARINDS,,2026-11-23,2026-11-23,17000.00,CE,SOLARINDS26NOV17000CE,0.00,0.00,0.00,3475.75,0.00,3475.75,22370.22,5673.77,0,0,0,0.00,0,F1,50,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,127841,,SOLARINDS,,2026-11-23,2026-11-23,18500.00,CE,SOLARINDS26NOV18500CE,0.00,0.00,0.00,2448.30,0.00,2448.30,22370.22,4352.59,0,0,0,0.00,0,F1,50,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,127853,,SOLARINDS,,2026-11-23,2026-11-23,21500.00,CE,SOLARINDS26NOV21500CE,0.00,0.00,0.00,1054.05,0.00,1054.05,22370.22,2219.75,0,0,0,0.00,0,F1,50,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,109653,,SOLARINDS,,2026-10-27,2026-10-27,19000.00,PE,SOLARINDS26OCT19000PE,118.90,125.00,118.90,120.00,120.00,118.90,22370.22,174.36,4500,0,7,6692640.00,7,F1,50,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,149091,,SOLARINDS,,2026-09-29,2026-09-29,22000.00,PE,SOLARINDS26SEP22000PE,483.85,528.45,400.00,439.05,432.70,469.65,22370.22,439.05,63150,300,1425,1599612107.50,1037,F1,50,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,148911,,SOLARINDS,,2026-09-29,2026-09-29,17500.00,PE,SOLARINDS26SEP17500PE,11.10,11.95,9.00,11.95,11.95,11.10,22370.22,1.99,1050,-350,11,9630542.50,8,F1,50,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,127727,,SOLARINDS,,2026-10-27,2026-10-27,19750.00,PE,SOLARINDS26OCT19750PE,0.00,0.00,0.00,1205.25,0.00,1205.25,22370.22,297.79,0,0,0,0.00,0,F1,50,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,127737,,SOLARINDS,,2026-10-27,2026-10-27,22250.00,PE,SOLARINDS26OCT22250PE,0.00,0.00,0.00,2790.30,0.00,2790.30,22370.22,1141.40,0,0,0,0.00,0,F1,50,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,52732,,SOLARINDS,,2026-10-27,2026-10-27,24500.00,PE,SOLARINDS26OCT24500PE,0.00,0.00,0.00,4266.05,0.00,4266.05,22370.22,2529.43,0,0,0,0.00,0,F1,50,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,127743,,SOLARINDS,,2026-10-27,2026-10-27,23750.00,PE,SOLARINDS26OCT23750PE,0.00,0.00,0.00,4001.10,0.00,4001.10,22370.22,2005.90,0,0,0,0.00,0,F1,50,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,149165,,SOLARINDS,,2026-09-29,2026-09-29,25000.00,PE,SOLARINDS26SEP25000PE,0.00,0.00,0.00,6110.60,0.00,6110.60,22370.22,2684.14,0,0,0,0.00,0,F1,50,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,39775,,SOLARINDS,,2026-09-29,2026-09-29,23750.00,PE,SOLARINDS26SEP23750PE,1460.80,1460.80,1460.80,1460.80,1460.80,5224.35,22370.22,1657.16,50,50,1,1260540.00,1,F1,50,,,,,
2026-09-10,2026-09-10,FO,NSE,STO,109540,,SOLARINDS,,2026-09-29,2026-09-29,17750.00,PE,SOLARINDS26SEP17750PE,0.00,0.00,0.00,176.55,176.55,176.55,22370.22,3.28,100,0,0,0.00,0,F1,50,,,,,
