TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-09-11,2026-09-11,FO,NSE,STO,127869,,MCX,,2026-09-29,2026-09-29,2600.00,CE,MCX26SEP2600CE,0.00,0.00,0.00,712.45,712.45,712.45,3275.98,684.88,24525,0,0,0.00,0,F1,225,,,,,
2026-09-11,2026-09-11,FO,NSE,STO,93901,,MCX,,2026-09-29,2026-09-29,3150.00,CE,MCX26SEP3150CE,188.35,202.50,170.80,190.45,190.45,198.70,3275.98,190.45,171900,2250,57,42808083.75,52,F1,225,,,,,
2026-09-11,2026-09-11,FO,NSE,STO,127894,,MCX,,2026-09-29,2026-09-29,3800.00,CE,MCX26SEP3800CE,10.95,13.60,6.55,7.05,6.70,9.40,3275.98,7.05,202725,7875,597,511565883.75,511,F1,225,,,,,
2026-09-11,2026-09-11,FO,NSE,STO,94135,,MCX,,2026-10-27,2026-10-27,2800.00,CE,MCX26OCT2800CE,0.00,0.00,0.00,239.40,0.00,239.40,3275.98,542.32,0,0,0,0.00,0,F1,225,,,,,
2026-09-11,2026-09-11,FO,NSE,STO,118812,,MCX,,2026-11-23,2026-11-23,3500.00,CE,MCX26NOV3500CE,0.00,0.00,0.00,242.45,0.00,242.45,3275.98,203.49,0,0,0,0.00,0,F1,225,,,,,
2026-09-11,2026-09-11,FO,NSE,STO,127878,,MCX,,2026-09-29,2026-09-29,3000.00,CE,MCX26SEP3000CE,377.95,381.00,285.00,323.00,323.00,322.60,3275.98,323.00,316125,0,61,45507161.25,53,F1,225,,,,,
2026-09-11,2026-09-11,FO,NSE,STO,118817,,MCX,,2026-11-23,2026-11-23,3700.00,PE,MCX26NOV3700PE,0.00,0.00,0.00,542.85,0.00,542.85,3275.98,519.25,0,0,0,0.00,0,F1,225,,,,,
2026-09-11,2026-09-11,FO,NSE,STO,118631,,MCX,,2026-10-27,2026-10-27,3550.00,PE,MCX26OCT3550PE,0.00,0.00,0.00,402.35,0.00,402.35,3275.98,371.80,0,0,0,0.00,0,F1,225,,,,,
2026-09-11,2026-09-11,FO,NSE,STO,118629,,MCX,,2026-10-27,2026-10-27,3450.00,PE,MCX26OCT3450PE,0.00,0.00,0.00,215.00,215.00,215.00,3275.98,305.74,0,0,0,0.00,0,F1,225,,,,,
2026-09-11,2026-09-11,FO,NSE,STO,94153,,MCX,,2026-10-27,2026-10-27,3300.00,PE,MCX26OCT3300PE,150.00,165.00,145.00,152.85,153.35,148.00,3275.98,152.85,40500,900,27,20992365.00,26,F1,225,,,,,
