TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-09-15,2026-09-15,FO,NSE,STO,81675,,IEX,,2026-10-27,2026-10-27,100.00,CE,IEX26OCT100CE,13.25,13.25,13.25,13.25,13.25,15.20,112.01,13.25,21750,4350,1,492637.50,1,F1,4350,,,,,
2026-09-15,2026-09-15,FO,NSE,STO,81743,,IEX,,2026-10-27,2026-10-27,150.00,CE,IEX26OCT150CE,0.00,0.00,0.00,0.47,0.47,0.47,112.01,0.23,43500,0,0,0.00,0,F1,4350,,,,,
2026-09-15,2026-09-15,FO,NSE,STO,102741,,IEX,,2026-11-23,2026-11-23,125.00,CE,IEX26NOV125CE,0.00,0.00,0.00,11.75,0.00,11.75,112.01,4.48,0,0,0,0.00,0,F1,4350,,,,,
2026-09-15,2026-09-15,FO,NSE,STO,113712,,IEX,,2026-09-29,2026-09-29,100.00,PE,IEX26SEP100PE,0.45,0.45,0.26,0.32,0.34,0.35,112.01,0.32,443700,4350,154,67201540.50,107,F1,4350,,,,,
2026-09-15,2026-09-15,FO,NSE,STO,81682,,IEX,,2026-10-27,2026-10-27,105.00,PE,IEX26OCT105PE,0.00,0.00,0.00,2.20,0.00,2.20,112.01,3.36,0,0,0,0.00,0,F1,4350,,,,,
2026-09-15,2026-09-15,FO,NSE,STO,102594,,IEX,,2026-10-27,2026-10-27,112.50,PE,IEX26OCT112.5PE,0.00,0.00,0.00,3.94,0.00,3.94,112.01,6.59,0,0,0,0.00,0,F1,4350,,,,,
2026-09-15,2026-09-15,FO,NSE,STO,102751,,IEX,,2026-11-23,2026-11-23,140.00,PE,IEX26NOV140PE,0.00,0.00,0.00,19.98,0.00,19.98,112.01,28.02,0,0,0,0.00,0,F1,4350,,,,,
2026-09-15,2026-09-15,FO,NSE,STO,113873,,IEX,,2026-09-29,2026-09-29,140.00,CE,IEX26SEP140CE,0.16,0.16,0.13,0.15,0.13,0.19,112.01,0.15,1044000,-26100,29,17679009.00,23,F1,4350,,,,,
2026-09-15,2026-09-15,FO,NSE,STO,102750,,IEX,,2026-11-23,2026-11-23,140.00,CE,IEX26NOV140CE,0.00,0.00,0.00,6.26,0.00,6.26,112.01,1.70,0,0,0,0.00,0,F1,4350,,,,,
2026-09-15,2026-09-15,FO,NSE,STO,113768,,IEX,,2026-09-29,2026-09-29,125.00,PE,IEX26SEP125PE,12.60,13.67,12.60,13.42,13.20,11.00,112.01,13.42,1570350,-52200,13,7791981.00,7,F1,4350,,,,,
2026-09-15,2026-09-15,FO,NSE,STO,102602,,IEX,,2026-10-27,2026-10-27,132.50,PE,IEX26OCT132.5PE,0.00,0.00,0.00,13.54,0.00,13.54,112.01,20.89,0,0,0,0.00,0,F1,4350,,,,,
2026-09-15,2026-09-15,FO,NSE,STO,102596,,IEX,,2026-10-27,2026-10-27,117.50,PE,IEX26OCT117.5PE,0.00,0.00,0.00,4.00,4.00,4.00,112.01,9.46,13050,0,0,0.00,0,F1,4350,,,,,
2026-09-15,2026-09-15,FO,NSE,STO,102590,,IEX,,2026-10-27,2026-10-27,102.50,PE,IEX26OCT102.5PE,0.00,0.00,0.00,1.58,0.00,1.58,112.01,2.58,0,0,0,0.00,0,F1,4350,,,,,
2026-09-15,2026-09-15,FO,NSE,STO,81650,,IEX,,2026-09-29,2026-09-29,142.50,PE,IEX26SEP142.5PE,0.00,0.00,0.00,18.00,18.00,18.00,112.01,30.18,21750,0,0,0.00,0,F1,4350,,,,,
2026-09-15,2026-09-15,FO,NSE,STO,113758,,IEX,,2026-09-29,2026-09-29,120.00,PE,IEX26SEP120PE,7.30,8.70,6.63,8.70,8.70,6.82,112.01,8.70,3423450,-569850,236,131183037.00,236,F1,4350,,,,,
2026-09-15,2026-09-15,FO,NSE,STO,81628,,IEX,,2026-09-29,2026-09-29,102.50,PE,IEX26SEP102.5PE,0.00,0.00,0.00,0.98,0.00,0.98,112.01,0.72,0,0,0,0.00,0,F1,4350,,,,,
2026-09-15,2026-09-15,FO,NSE,STO,81725,,IEX,,2026-10-27,2026-10-27,130.00,CE,IEX26OCT130CE,0.80,0.80,0.62,0.68,0.68,0.88,112.01,0.68,282750,60900,45,25584786.00,39,F1,4350,,,,,
2026-09-15,2026-09-15,FO,NSE,STO,113769,,IEX,,2026-09-29,2026-09-29,130.00,CE,IEX26SEP130CE,0.27,0.27,0.19,0.19,0.20,0.27,112.01,0.19,5507100,-43500,330,186920283.00,190,F1,4350,,,,,
2026-09-15,2026-09-15,FO,NSE,STO,102745,,IEX,,2026-11-23,2026-11-23,125.00,PE,IEX26NOV125PE,0.00,0.00,0.00,10.70,0.00,10.70,112.01,15.98,0,0,0,0.00,0,F1,4350,,,,,
2026-09-15,2026-09-15,FO,NSE,STO,81737,,IEX,,2026-10-27,2026-10-27,140.00,PE,IEX26OCT140PE,0.00,0.00,0.00,26.00,26.00,26.00,112.01,27.63,30450,0,0,0.00,0,F1,4350,,,,,
2026-09-15,2026-09-15,FO,NSE,STO,81652,,IEX,,2026-09-29,2026-09-29,147.50,PE,IEX26SEP147.5PE,0.00,0.00,0.00,33.10,33.10,33.10,112.01,35.16,126150,0,0,0.00,0,F1,4350,,,,,
2026-09-15,2026-09-15,FO,NSE,STO,102600,,IEX,,2026-10-27,2026-10-27,127.50,PE,IEX26OCT127.5PE,0.00,0.00,0.00,10.52,0.00,10.52,112.01,16.70,0,0,0,0.00,0,F1,4350,,,,,
2026-09-15,2026-09-15,FO,NSE,STO,113902,,IEX,,2026-09-29,2026-09-29,150.00,CE,IEX26SEP150CE,0.13,0.13,0.11,0.11,0.11,0.14,112.01,0.11,195750,-8700,4,2612088.00,4,F1,4350,,,,,
2026-09-15,2026-09-15,FO,NSE,STO,102724,,IEX,,2026-11-23,2026-11-23,115.00,CE,IEX26NOV115CE,0.00,0.00,0.00,17.09,0.00,17.09,112.01,7.93,0,0,0,0.00,0,F1,4350,,,,,
2026-09-15,2026-09-15,FO,NSE,STO,81632,,IEX,,2026-09-29,2026-09-29,112.50,PE,IEX26SEP112.5PE,2.24,3.08,1.97,2.92,2.82,2.19,112.01,2.92,730800,-365400,388,194037144.00,316,F1,4350,,,,,
2026-09-15,2026-09-15,FO,NSE,STO,113872,,IEX,,2026-09-29,2026-09-29,135.00,PE,IEX26SEP135PE,0.00,0.00,0.00,21.59,21.59,21.59,112.01,22.75,369750,0,0,0.00,0,F1,4350,,,,,
