TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-09-15,2026-09-15,FO,NSE,STO,121766,,LICI,,2026-09-29,2026-09-29,470.00,PE,LICI26SEP470PE,0.00,0.00,0.00,49.50,49.50,49.50,391.52,77.44,26600,0,0,0.00,0,F1,1400,,,,,
2026-09-15,2026-09-15,FO,NSE,STO,112388,,LICI,,2026-11-23,2026-11-23,400.00,CE,LICI26NOV400CE,0.00,0.00,0.00,44.10,0.00,44.10,391.52,20.23,0,0,0,0.00,0,F1,1400,,,,,
2026-09-15,2026-09-15,FO,NSE,STO,112313,,LICI,,2026-10-27,2026-10-27,445.00,CE,LICI26OCT445CE,0.00,0.00,0.00,16.10,0.00,16.10,391.52,3.13,0,0,0,0.00,0,F1,1400,,,,,
2026-09-15,2026-09-15,FO,NSE,STO,89928,,LICI,,2026-10-27,2026-10-27,430.00,CE,LICI26OCT430CE,3.25,3.40,2.50,2.50,2.50,4.70,391.52,5.50,72800,-7000,47,28486360.00,41,F1,1400,,,,,
2026-09-15,2026-09-15,FO,NSE,STO,89898,,LICI,,2026-10-27,2026-10-27,360.00,CE,LICI26OCT360CE,0.00,0.00,0.00,76.00,0.00,76.00,391.52,38.80,0,0,0,0.00,0,F1,1400,,,,,
2026-09-15,2026-09-15,FO,NSE,STO,89775,,LICI,,2026-09-29,2026-09-29,385.00,CE,LICI26SEP385CE,14.30,15.05,10.75,10.95,10.75,23.25,391.52,10.95,30800,26600,43,23921870.00,43,F1,1400,,,,,
2026-09-15,2026-09-15,FO,NSE,STO,89714,,LICI,,2026-09-29,2026-09-29,355.00,CE,LICI26SEP355CE,0.00,0.00,0.00,65.25,65.25,65.25,391.52,37.89,4200,0,0,0.00,0,F1,1400,,,,,
2026-09-15,2026-09-15,FO,NSE,STO,121676,,LICI,,2026-09-29,2026-09-29,340.00,CE,LICI26SEP340CE,0.00,0.00,0.00,98.35,0.00,98.35,391.52,52.38,0,0,0,0.00,0,F1,1400,,,,,
2026-09-15,2026-09-15,FO,NSE,STO,89938,,LICI,,2026-10-27,2026-10-27,480.00,CE,LICI26OCT480CE,0.00,0.00,0.00,0.80,0.80,0.80,391.52,0.69,30800,0,0,0.00,0,F1,1400,,,,,
2026-09-15,2026-09-15,FO,NSE,STO,89890,,LICI,,2026-10-27,2026-10-27,340.00,CE,LICI26OCT340CE,0.00,0.00,0.00,93.75,0.00,93.75,391.52,55.61,0,0,0,0.00,0,F1,1400,,,,,
