TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-09-17,2026-09-17,FO,NSE,STF,68538,,HINDPETRO,,2026-09-29,2026-09-29,,,HINDPETRO26SEPFUT,353.00,355.00,351.80,352.30,352.90,352.20,350.60,352.30,38624850,234900,1284,918299632.50,1211,F1,2025,,,,,
2026-09-17,2026-09-17,FO,NSE,STO,99011,,HINDPETRO,,2026-11-23,2026-11-23,380.00,PE,HINDPETRO26NOV380PE,0.00,0.00,0.00,20.00,20.00,20.00,350.60,40.02,2025,0,0,0.00,0,F1,2025,,,,,
2026-09-17,2026-09-17,FO,NSE,STO,110155,,HINDPETRO,,2026-09-29,2026-09-29,360.75,CE,HINDPETRO26SEP360.75CE,4.10,4.70,3.05,3.10,3.10,4.15,350.60,3.10,376650,85050,133,98163495.00,123,F1,2025,,,,,
2026-09-17,2026-09-17,FO,NSE,STO,53959,,HINDPETRO,,2026-09-29,2026-09-29,440.00,CE,HINDPETRO26SEP440CE,0.00,0.00,0.00,0.10,0.10,0.10,350.60,0.01,42525,0,0,0.00,0,F1,2025,,,,,
2026-09-17,2026-09-17,FO,NSE,STO,98824,,HINDPETRO,,2026-10-27,2026-10-27,310.00,CE,HINDPETRO26OCT310CE,0.00,0.00,0.00,70.40,0.00,70.40,350.60,46.85,0,0,0,0.00,0,F1,2025,,,,,
2026-09-17,2026-09-17,FO,NSE,STO,98832,,HINDPETRO,,2026-10-27,2026-10-27,370.00,CE,HINDPETRO26OCT370CE,0.00,0.00,0.00,6.65,6.65,6.65,350.60,12.29,42525,0,0,0.00,0,F1,2025,,,,,
2026-09-17,2026-09-17,FO,NSE,STO,53856,,HINDPETRO,,2026-09-29,2026-09-29,340.00,PE,HINDPETRO26SEP340PE,2.70,2.75,1.85,2.20,2.20,2.95,350.60,2.20,1646325,24300,307,212741032.50,239,F1,2025,,,,,
2026-09-17,2026-09-17,FO,NSE,STO,53890,,HINDPETRO,,2026-09-29,2026-09-29,360.00,PE,HINDPETRO26SEP360PE,11.30,11.60,9.35,10.90,10.70,12.00,350.60,10.90,714825,28350,183,137299050.00,165,F1,2025,,,,,
2026-09-17,2026-09-17,FO,NSE,STO,54160,,HINDPETRO,,2026-10-27,2026-10-27,400.00,PE,HINDPETRO26OCT400PE,46.00,46.60,45.00,46.60,46.60,48.40,350.60,51.64,58725,8100,4,3609765.00,3,F1,2025,,,,,
2026-09-17,2026-09-17,FO,NSE,STO,98968,,HINDPETRO,,2026-11-23,2026-11-23,280.00,PE,HINDPETRO26NOV280PE,0.00,0.00,0.00,2.30,0.00,2.30,350.60,2.33,0,0,0,0.00,0,F1,2025,,,,,
2026-09-17,2026-09-17,FO,NSE,STO,98991,,HINDPETRO,,2026-11-23,2026-11-23,320.00,CE,HINDPETRO26NOV320CE,0.00,0.00,0.00,66.60,0.00,66.60,350.60,44.53,0,0,0,0.00,0,F1,2025,,,,,
2026-09-17,2026-09-17,FO,NSE,STO,99003,,HINDPETRO,,2026-11-23,2026-11-23,380.00,CE,HINDPETRO26NOV380CE,0.00,0.00,0.00,9.65,9.65,9.65,350.60,15.01,18225,0,0,0.00,0,F1,2025,,,,,
2026-09-17,2026-09-17,FO,NSE,STO,79202,,HINDPETRO,,2026-09-29,2026-09-29,410.75,PE,HINDPETRO26SEP410.75PE,56.70,56.70,56.70,56.70,56.70,56.75,350.60,59.54,34425,-4050,2,1893172.50,1,F1,2025,,,,,
2026-09-17,2026-09-17,FO,NSE,STO,53956,,HINDPETRO,,2026-09-29,2026-09-29,420.00,PE,HINDPETRO26SEP420PE,0.00,0.00,0.00,70.05,70.05,70.05,350.60,68.67,544725,0,0,0.00,0,F1,2025,,,,,
2026-09-17,2026-09-17,FO,NSE,STO,53960,,HINDPETRO,,2026-09-29,2026-09-29,440.00,PE,HINDPETRO26SEP440PE,86.60,86.60,86.60,86.60,86.60,92.50,350.60,88.56,38475,6075,3,3199095.00,1,F1,2025,,,,,
2026-09-17,2026-09-17,FO,NSE,STO,54096,,HINDPETRO,,2026-10-27,2026-10-27,380.00,PE,HINDPETRO26OCT380PE,29.00,29.00,29.00,29.00,29.00,30.00,350.60,36.03,22275,0,1,828225.00,1,F1,2025,,,,,
2026-09-17,2026-09-17,FO,NSE,STO,99049,,HINDPETRO,,2026-11-23,2026-11-23,440.00,PE,HINDPETRO26NOV440PE,0.00,0.00,0.00,72.10,0.00,72.10,350.60,88.07,0,0,0,0.00,0,F1,2025,,,,,
2026-09-17,2026-09-17,FO,NSE,STO,110158,,HINDPETRO,,2026-09-29,2026-09-29,380.75,CE,HINDPETRO26SEP380.75CE,1.00,1.00,0.70,0.70,0.70,1.05,350.60,1.97,471825,12150,22,17000381.25,14,F1,2025,,,,,
2026-09-17,2026-09-17,FO,NSE,STO,99014,,HINDPETRO,,2026-11-23,2026-11-23,400.00,PE,HINDPETRO26NOV400PE,0.00,0.00,0.00,43.60,0.00,43.60,350.60,54.54,0,0,0,0.00,0,F1,2025,,,,,
2026-09-17,2026-09-17,FO,NSE,STO,54149,,HINDPETRO,,2026-10-27,2026-10-27,400.00,CE,HINDPETRO26OCT400CE,2.10,2.15,1.70,1.70,1.70,2.05,350.60,5.01,119475,0,12,9767790.00,12,F1,2025,,,,,
2026-09-17,2026-09-17,FO,NSE,STO,98836,,HINDPETRO,,2026-10-27,2026-10-27,410.00,CE,HINDPETRO26OCT410CE,0.00,0.00,0.00,14.05,0.00,14.05,350.60,3.59,0,0,0,0.00,0,F1,2025,,,,,
2026-09-17,2026-09-17,FO,NSE,STO,79235,,HINDPETRO,,2026-10-27,2026-10-27,400.75,CE,HINDPETRO26OCT400.75CE,0.00,0.00,0.00,3.45,3.45,3.45,350.60,4.89,2025,0,0,0.00,0,F1,2025,,,,,
2026-09-17,2026-09-17,FO,NSE,STF,61590,,HINDPETRO,,2026-11-23,2026-11-23,,,HINDPETRO26NOVFUT,355.90,358.00,355.20,355.60,355.60,355.90,350.60,354.69,176175,16200,14,10103231.25,14,F1,2025,,,,,
2026-09-17,2026-09-17,FO,NSE,STO,53772,,HINDPETRO,,2026-09-29,2026-09-29,280.00,PE,HINDPETRO26SEP280PE,0.00,0.00,0.00,0.45,0.00,0.45,350.60,0.01,0,0,0,0.00,0,F1,2025,,,,,
2026-09-17,2026-09-17,FO,NSE,STO,99048,,HINDPETRO,,2026-11-23,2026-11-23,440.00,CE,HINDPETRO26NOV440CE,0.00,0.00,0.00,11.85,0.00,11.85,350.60,3.74,0,0,0,0.00,0,F1,2025,,,,,
2026-09-17,2026-09-17,FO,NSE,STO,54176,,HINDPETRO,,2026-10-27,2026-10-27,440.00,PE,HINDPETRO26OCT440PE,0.00,0.00,0.00,92.80,92.80,92.80,350.60,87.58,2025,0,0,0.00,0,F1,2025,,,,,
2026-09-17,2026-09-17,FO,NSE,STO,99000,,HINDPETRO,,2026-11-23,2026-11-23,360.00,PE,HINDPETRO26NOV360PE,0.00,0.00,0.00,22.10,0.00,22.10,350.60,27.62,0,0,0,0.00,0,F1,2025,,,,,
2026-09-17,2026-09-17,FO,NSE,STO,54175,,HINDPETRO,,2026-10-27,2026-10-27,440.00,CE,HINDPETRO26OCT440CE,0.00,0.00,0.00,1.70,1.70,1.70,350.60,1.22,6075,0,0,0.00,0,F1,2025,,,,,
2026-09-17,2026-09-17,FO,NSE,STO,110147,,HINDPETRO,,2026-09-29,2026-09-29,340.75,CE,HINDPETRO26SEP340.75CE,15.30,15.95,13.80,14.15,14.15,14.60,350.60,14.15,218700,-6075,36,25914532.50,36,F1,2025,,,,,
2026-09-17,2026-09-17,FO,NSE,STO,53855,,HINDPETRO,,2026-09-29,2026-09-29,340.00,CE,HINDPETRO26SEP340CE,15.10,16.65,14.35,14.60,14.50,15.10,350.60,14.60,305775,-20250,33,23722166.25,31,F1,2025,,,,,
2026-09-17,2026-09-17,FO,NSE,STO,53851,,HINDPETRO,,2026-09-29,2026-09-29,330.00,CE,HINDPETRO26SEP330CE,0.00,0.00,0.00,26.35,26.35,26.35,350.60,24.12,81000,0,0,0.00,0,F1,2025,,,,,
2026-09-17,2026-09-17,FO,NSE,STO,110141,,HINDPETRO,,2026-09-29,2026-09-29,300.75,CE,HINDPETRO26SEP300.75CE,0.00,0.00,0.00,48.10,48.10,48.10,350.60,50.60,16200,0,0,0.00,0,F1,2025,,,,,
2026-09-17,2026-09-17,FO,NSE,STO,53914,,HINDPETRO,,2026-09-29,2026-09-29,380.00,PE,HINDPETRO26SEP380PE,26.80,28.45,25.85,28.40,28.40,28.75,350.60,30.74,895050,0,79,65108711.25,50,F1,2025,,,,,
2026-09-17,2026-09-17,FO,NSE,STO,53949,,HINDPETRO,,2026-09-29,2026-09-29,410.00,CE,HINDPETRO26SEP410CE,0.20,0.20,0.20,0.20,0.20,0.30,350.60,0.20,190350,-4050,2,1661310.00,1,F1,2025,,,,,
2026-09-17,2026-09-17,FO,NSE,STO,54091,,HINDPETRO,,2026-10-27,2026-10-27,360.00,CE,HINDPETRO26OCT360CE,10.00,10.65,9.20,9.30,9.20,10.00,350.60,9.30,131625,-18225,23,17222827.50,20,F1,2025,,,,,
2026-09-17,2026-09-17,FO,NSE,STO,53919,,HINDPETRO,,2026-09-29,2026-09-29,390.00,CE,HINDPETRO26SEP390CE,0.60,0.60,0.35,0.35,0.35,0.65,350.60,0.35,897075,24300,68,53775900.00,46,F1,2025,,,,,
2026-09-17,2026-09-17,FO,NSE,STO,98833,,HINDPETRO,,2026-10-27,2026-10-27,370.00,PE,HINDPETRO26OCT370PE,21.25,21.40,21.25,21.40,21.40,27.00,350.60,29.13,24300,10125,5,3961710.00,5,F1,2025,,,,,
2026-09-17,2026-09-17,FO,NSE,STO,53950,,HINDPETRO,,2026-09-29,2026-09-29,410.00,PE,HINDPETRO26SEP410PE,57.00,57.00,56.50,56.50,56.50,57.85,350.60,58.81,44550,-4050,3,2835000.00,2,F1,2025,,,,,
2026-09-17,2026-09-17,FO,NSE,STO,110164,,HINDPETRO,,2026-09-29,2026-09-29,400.75,PE,HINDPETRO26SEP400.75PE,0.00,0.00,0.00,55.00,55.00,55.00,350.60,49.82,22275,0,0,0.00,0,F1,2025,,,,,
2026-09-17,2026-09-17,FO,NSE,STO,53946,,HINDPETRO,,2026-09-29,2026-09-29,400.00,PE,HINDPETRO26SEP400PE,47.00,48.50,45.70,47.75,47.75,48.05,350.60,49.10,164025,-6075,5,4528811.25,5,F1,2025,,,,,
2026-09-17,2026-09-17,FO,NSE,STO,54095,,HINDPETRO,,2026-10-27,2026-10-27,380.00,CE,HINDPETRO26OCT380CE,4.10,4.30,3.95,3.95,3.95,4.70,350.60,3.95,119475,16200,19,14780475.00,18,F1,2025,,,,,
2026-09-17,2026-09-17,FO,NSE,STO,54083,,HINDPETRO,,2026-10-27,2026-10-27,280.00,CE,HINDPETRO26OCT280CE,0.00,0.00,0.00,71.70,71.70,71.70,350.60,73.33,10125,0,0,0.00,0,F1,2025,,,,,
2026-09-17,2026-09-17,FO,NSE,STO,79201,,HINDPETRO,,2026-09-29,2026-09-29,410.75,CE,HINDPETRO26SEP410.75CE,0.20,0.20,0.20,0.20,0.20,0.35,350.60,0.19,153900,-4050,2,1664347.50,2,F1,2025,,,,,
2026-09-17,2026-09-17,FO,NSE,STO,110162,,HINDPETRO,,2026-09-29,2026-09-29,400.75,CE,HINDPETRO26SEP400.75CE,0.35,0.35,0.30,0.30,0.30,0.45,350.60,0.45,232875,-12150,7,5685086.25,3,F1,2025,,,,,
2026-09-17,2026-09-17,FO,NSE,STO,53857,,HINDPETRO,,2026-09-29,2026-09-29,350.00,CE,HINDPETRO26SEP350CE,8.90,9.75,7.35,7.60,7.90,8.60,350.60,7.60,1198800,74925,475,344739442.50,433,F1,2025,,,,,
2026-09-17,2026-09-17,FO,NSE,STO,53771,,HINDPETRO,,2026-09-29,2026-09-29,280.00,CE,HINDPETRO26SEP280CE,0.00,0.00,0.00,96.00,0.00,96.00,350.60,71.15,0,0,0,0.00,0,F1,2025,,,,,
2026-09-17,2026-09-17,FO,NSE,STO,54086,,HINDPETRO,,2026-10-27,2026-10-27,300.00,PE,HINDPETRO26OCT300PE,1.30,1.35,1.00,1.00,1.00,1.40,350.60,2.53,72900,14175,12,7319868.75,11,F1,2025,,,,,
2026-09-17,2026-09-17,FO,NSE,STO,54090,,HINDPETRO,,2026-10-27,2026-10-27,340.00,PE,HINDPETRO26OCT340PE,5.65,6.55,5.65,6.20,6.20,6.75,350.60,12.99,127575,-2025,17,11917125.00,17,F1,2025,,,,,
2026-09-17,2026-09-17,FO,NSE,STO,98988,,HINDPETRO,,2026-11-23,2026-11-23,300.00,PE,HINDPETRO26NOV300PE,0.00,0.00,0.00,4.70,0.00,4.70,350.60,5.26,0,0,0,0.00,0,F1,2025,,,,,
2026-09-17,2026-09-17,FO,NSE,STO,98998,,HINDPETRO,,2026-11-23,2026-11-23,340.00,PE,HINDPETRO26NOV340PE,8.10,8.10,8.10,8.10,8.10,14.35,350.60,17.64,4050,4050,2,1409805.00,2,F1,2025,,,,,
2026-09-17,2026-09-17,FO,NSE,STO,98825,,HINDPETRO,,2026-10-27,2026-10-27,310.00,PE,HINDPETRO26OCT310PE,0.00,0.00,0.00,2.00,2.00,2.00,350.60,4.11,2025,0,0,0.00,0,F1,2025,,,,,
2026-09-17,2026-09-17,FO,NSE,STO,53779,,HINDPETRO,,2026-09-29,2026-09-29,310.00,CE,HINDPETRO26SEP310CE,0.00,0.00,0.00,68.10,0.00,68.10,350.60,41.69,0,0,0,0.00,0,F1,2025,,,,,
2026-09-17,2026-09-17,FO,NSE,STO,79199,,HINDPETRO,,2026-09-29,2026-09-29,390.75,CE,HINDPETRO26SEP390.75CE,0.55,0.55,0.40,0.40,0.40,0.60,350.60,0.40,99225,-2025,14,11090621.25,11,F1,2025,,,,,
2026-09-17,2026-09-17,FO,NSE,STO,110178,,HINDPETRO,,2026-09-29,2026-09-29,440.75,CE,HINDPETRO26SEP440.75CE,0.00,0.00,0.00,0.10,0.10,0.10,350.60,0.01,14175,0,0,0.00,0,F1,2025,,,,,
2026-09-17,2026-09-17,FO,NSE,STO,79233,,HINDPETRO,,2026-10-27,2026-10-27,380.75,CE,HINDPETRO26OCT380.75CE,0.00,0.00,0.00,5.30,5.30,5.30,350.60,9.05,8100,0,0,0.00,0,F1,2025,,,,,
2026-09-17,2026-09-17,FO,NSE,STO,53788,,HINDPETRO,,2026-09-29,2026-09-29,320.00,PE,HINDPETRO26SEP320PE,0.45,0.55,0.45,0.55,0.55,0.75,350.60,0.55,467775,8100,70,45427736.25,53,F1,2025,,,,,
