TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-09-17,2026-09-17,FO,NSE,STO,104774,,INFY,,2026-11-23,2026-11-23,880.00,CE,INFY26NOV880CE,0.00,0.00,0.00,281.30,0.00,281.30,1057.97,195.27,0,0,0,0.00,0,F1,400,,,,,
2026-09-17,2026-09-17,FO,NSE,STO,104810,,INFY,,2026-11-23,2026-11-23,1240.00,CE,INFY26NOV1240CE,10.00,10.00,10.00,10.00,10.00,8.55,1057.97,15.88,8800,400,1,500000.00,1,F1,400,,,,,
2026-09-17,2026-09-17,FO,NSE,STO,115727,,INFY,,2026-09-29,2026-09-29,880.00,PE,INFY26SEP880PE,0.60,1.00,0.35,0.40,0.45,0.65,1057.97,0.40,288000,7200,383,134896760.00,197,F1,400,,,,,
2026-09-17,2026-09-17,FO,NSE,STO,83363,,INFY,,2026-09-29,2026-09-29,900.00,PE,INFY26SEP900PE,1.00,1.00,0.40,0.50,0.50,0.80,1057.97,0.50,139200,2800,249,89704440.00,134,F1,400,,,,,
2026-09-17,2026-09-17,FO,NSE,STO,83365,,INFY,,2026-09-29,2026-09-29,940.00,PE,INFY26SEP940PE,1.45,1.45,0.75,0.85,0.80,1.30,1057.97,0.85,210000,3200,802,301856360.00,254,F1,400,,,,,
2026-09-17,2026-09-17,FO,NSE,STO,115810,,INFY,,2026-09-29,2026-09-29,1240.00,PE,INFY26SEP1240PE,181.00,181.70,174.40,175.90,174.40,166.00,1057.97,175.90,99600,-1600,47,26719700.00,21,F1,400,,,,,
2026-09-17,2026-09-17,FO,NSE,STO,104722,,INFY,,2026-10-27,2026-10-27,980.00,CE,INFY26OCT980CE,0.00,0.00,0.00,90.00,90.00,90.00,1057.97,101.97,400,0,0,0.00,0,F1,400,,,,,
2026-09-17,2026-09-17,FO,NSE,STO,83451,,INFY,,2026-10-27,2026-10-27,1080.00,CE,INFY26OCT1080CE,36.00,39.20,32.50,37.80,38.45,38.25,1057.97,37.80,108400,19600,123,54900560.00,77,F1,400,,,,,
2026-09-17,2026-09-17,FO,NSE,STO,104738,,INFY,,2026-10-27,2026-10-27,1260.00,CE,INFY26OCT1260CE,4.00,4.00,3.25,3.45,3.45,4.30,1057.97,4.91,26000,0,8,4043320.00,7,F1,400,,,,,
2026-09-17,2026-09-17,FO,NSE,STO,83454,,INFY,,2026-10-27,2026-10-27,1120.00,PE,INFY26OCT1120PE,0.00,0.00,0.00,79.00,79.00,79.00,1057.97,83.09,64400,0,0,0.00,0,F1,400,,,,,
