TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-09-17,2026-09-17,FO,NSE,STO,92315,,MANKIND,,2026-10-27,2026-10-27,1880.00,CE,MANKIND26OCT1880CE,0.00,0.00,0.00,768.65,0.00,768.65,2299.93,435.05,0,0,0,0.00,0,F1,250,,,,,
2026-09-17,2026-09-17,FO,NSE,STO,92323,,MANKIND,,2026-10-27,2026-10-27,1920.00,PE,MANKIND26OCT1920PE,0.00,0.00,0.00,3.55,0.00,3.55,2299.93,3.59,0,0,0,0.00,0,F1,250,,,,,
2026-09-17,2026-09-17,FO,NSE,STO,92073,,MANKIND,,2026-09-29,2026-09-29,2540.00,PE,MANKIND26SEP2540PE,0.00,0.00,0.00,95.45,0.00,95.45,2299.93,237.97,0,0,0,0.00,0,F1,250,,,,,
2026-09-17,2026-09-17,FO,NSE,STO,92031,,MANKIND,,2026-09-29,2026-09-29,2420.00,PE,MANKIND26SEP2420PE,0.00,0.00,0.00,151.10,151.10,151.10,2299.93,130.93,7500,0,0,0.00,0,F1,250,,,,,
2026-09-17,2026-09-17,FO,NSE,STO,125443,,MANKIND,,2026-09-29,2026-09-29,2000.00,PE,MANKIND26SEP2000PE,0.00,0.00,0.00,10.55,0.00,10.55,2299.93,0.32,0,0,0,0.00,0,F1,250,,,,,
2026-09-17,2026-09-17,FO,NSE,STO,116369,,MANKIND,,2026-11-23,2026-11-23,2440.00,CE,MANKIND26NOV2440CE,0.00,0.00,0.00,135.00,0.00,135.00,2299.93,81.45,0,0,0,0.00,0,F1,250,,,,,
2026-09-17,2026-09-17,FO,NSE,STO,116367,,MANKIND,,2026-11-23,2026-11-23,2400.00,CE,MANKIND26NOV2400CE,0.00,0.00,0.00,152.65,0.00,152.65,2299.93,95.76,0,0,0,0.00,0,F1,250,,,,,
2026-09-17,2026-09-17,FO,NSE,STO,116357,,MANKIND,,2026-11-23,2026-11-23,2320.00,CE,MANKIND26NOV2320CE,0.00,0.00,0.00,192.85,0.00,192.85,2299.93,129.94,0,0,0,0.00,0,F1,250,,,,,
2026-09-17,2026-09-17,FO,NSE,STO,116225,,MANKIND,,2026-11-23,2026-11-23,2040.00,CE,MANKIND26NOV2040CE,0.00,0.00,0.00,384.30,0.00,384.30,2299.93,310.68,0,0,0,0.00,0,F1,250,,,,,
2026-09-17,2026-09-17,FO,NSE,STO,116219,,MANKIND,,2026-11-23,2026-11-23,2000.00,CE,MANKIND26NOV2000CE,0.00,0.00,0.00,417.30,0.00,417.30,2299.93,343.48,0,0,0,0.00,0,F1,250,,,,,
2026-09-17,2026-09-17,FO,NSE,STO,116215,,MANKIND,,2026-11-23,2026-11-23,1920.00,CE,MANKIND26NOV1920CE,0.00,0.00,0.00,486.60,0.00,486.60,2299.93,412.93,0,0,0,0.00,0,F1,250,,,,,
2026-09-17,2026-09-17,FO,NSE,STO,92343,,MANKIND,,2026-10-27,2026-10-27,2160.00,CE,MANKIND26OCT2160CE,0.00,0.00,0.00,510.35,0.00,510.35,2299.93,191.64,0,0,0,0.00,0,F1,250,,,,,
2026-09-17,2026-09-17,FO,NSE,STO,92324,,MANKIND,,2026-10-27,2026-10-27,1960.00,CE,MANKIND26OCT1960CE,0.00,0.00,0.00,692.30,0.00,692.30,2299.93,359.22,0,0,0,0.00,0,F1,250,,,,,
2026-09-17,2026-09-17,FO,NSE,STO,92074,,MANKIND,,2026-09-29,2026-09-29,2580.00,CE,MANKIND26SEP2580CE,0.00,0.00,0.00,2.00,2.00,2.00,2299.93,1.46,0,0,0,0.00,0,F1,250,,,,,
2026-09-17,2026-09-17,FO,NSE,STO,92032,,MANKIND,,2026-09-29,2026-09-29,2460.00,CE,MANKIND26SEP2460CE,3.50,5.60,3.30,4.70,4.40,4.00,2299.93,4.70,55500,-3000,41,25259187.50,33,F1,250,,,,,
2026-09-17,2026-09-17,FO,NSE,STO,125460,,MANKIND,,2026-09-29,2026-09-29,2360.00,CE,MANKIND26SEP2360CE,10.55,18.20,8.85,17.60,17.55,11.60,2299.93,17.60,62250,750,192,113987750.00,182,F1,250,,,,,
2026-09-17,2026-09-17,FO,NSE,STO,125444,,MANKIND,,2026-09-29,2026-09-29,2040.00,CE,MANKIND26SEP2040CE,0.00,0.00,0.00,550.75,0.00,550.75,2299.93,264.76,0,0,0,0.00,0,F1,250,,,,,
2026-09-17,2026-09-17,FO,NSE,STO,125422,,MANKIND,,2026-09-29,2026-09-29,1880.00,CE,MANKIND26SEP1880CE,0.00,0.00,0.00,698.60,0.00,698.60,2299.93,423.59,0,0,0,0.00,0,F1,250,,,,,
2026-09-17,2026-09-17,FO,NSE,STF,61642,,MANKIND,,2026-11-23,2026-11-23,,,MANKIND26NOVFUT,2283.00,2321.00,2283.00,2318.40,2318.40,2282.60,2299.93,2326.77,10000,0,9,5188375.00,9,F1,250,,,,,
2026-09-17,2026-09-17,FO,NSE,STO,92384,,MANKIND,,2026-10-27,2026-10-27,2160.00,PE,MANKIND26OCT2160PE,0.00,0.00,0.00,20.05,0.00,20.05,2299.93,36.80,0,0,0,0.00,0,F1,250,,,,,
