TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-09-17,2026-09-17,FO,NSE,IDO,49233,,NIFTYFPI,,2026-10-27,2026-10-27,1495.00,PE,NIFTYFPI26OCT1495PE,0.00,0.00,0.00,11.25,0.00,11.25,1513.65,20.06,0,0,0,0.00,0,F1,1100,,,,,
2026-09-17,2026-09-17,FO,NSE,IDO,49219,,NIFTYFPI,,2026-10-27,2026-10-27,1490.00,PE,NIFTYFPI26OCT1490PE,0.00,0.00,0.00,10.40,0.00,10.40,1513.65,18.27,0,0,0,0.00,0,F1,1100,,,,,
2026-09-17,2026-09-17,FO,NSE,IDO,49121,,NIFTYFPI,,2026-10-27,2026-10-27,1450.00,PE,NIFTYFPI26OCT1450PE,0.00,0.00,0.00,5.10,0.00,5.10,1513.65,7.82,0,0,0,0.00,0,F1,1100,,,,,
2026-09-17,2026-09-17,FO,NSE,IDO,49101,,NIFTYFPI,,2026-10-27,2026-10-27,1440.00,PE,NIFTYFPI26OCT1440PE,0.00,0.00,0.00,4.20,0.00,4.20,1513.65,6.13,0,0,0,0.00,0,F1,1100,,,,,
2026-09-17,2026-09-17,FO,NSE,IDO,49067,,NIFTYFPI,,2026-10-27,2026-10-27,1420.00,PE,NIFTYFPI26OCT1420PE,0.00,0.00,0.00,2.80,0.00,2.80,1513.65,3.61,0,0,0,0.00,0,F1,1100,,,,,
2026-09-17,2026-09-17,FO,NSE,IDO,49061,,NIFTYFPI,,2026-10-27,2026-10-27,1405.00,PE,NIFTYFPI26OCT1405PE,0.00,0.00,0.00,2.00,0.00,2.00,1513.65,2.34,0,0,0,0.00,0,F1,1100,,,,,
2026-09-17,2026-09-17,FO,NSE,IDO,48887,,NIFTYFPI,,2026-10-27,2026-10-27,1340.00,PE,NIFTYFPI26OCT1340PE,0.00,0.00,0.00,0.40,0.00,0.40,1513.65,0.23,0,0,0,0.00,0,F1,1100,,,,,
2026-09-17,2026-09-17,FO,NSE,IDO,48519,,NIFTYFPI,,2026-09-29,2026-09-29,1690.00,PE,NIFTYFPI26SEP1690PE,0.00,0.00,0.00,97.90,0.00,97.90,1513.65,173.07,0,0,0,0.00,0,F1,1100,,,,,
2026-09-17,2026-09-17,FO,NSE,IDO,48473,,NIFTYFPI,,2026-09-29,2026-09-29,1635.00,PE,NIFTYFPI26SEP1635PE,0.00,0.00,0.00,58.20,0.00,58.20,1513.65,118.26,0,0,0,0.00,0,F1,1100,,,,,
2026-09-17,2026-09-17,FO,NSE,IDO,48465,,NIFTYFPI,,2026-09-29,2026-09-29,1615.00,PE,NIFTYFPI26SEP1615PE,0.00,0.00,0.00,46.35,0.00,46.35,1513.65,98.50,0,0,0,0.00,0,F1,1100,,,,,
2026-09-17,2026-09-17,FO,NSE,IDO,48431,,NIFTYFPI,,2026-09-29,2026-09-29,1570.00,PE,NIFTYFPI26SEP1570PE,0.00,0.00,0.00,25.35,0.00,25.35,1513.65,56.08,0,0,0,0.00,0,F1,1100,,,,,
2026-09-17,2026-09-17,FO,NSE,IDO,48329,,NIFTYFPI,,2026-09-29,2026-09-29,1410.00,PE,NIFTYFPI26SEP1410PE,0.00,0.00,0.00,0.75,0.00,0.75,1513.65,0.10,0,0,0,0.00,0,F1,1100,,,,,
2026-09-17,2026-09-17,FO,NSE,IDO,48311,,NIFTYFPI,,2026-09-29,2026-09-29,1375.00,PE,NIFTYFPI26SEP1375PE,0.00,0.00,0.00,0.25,0.00,0.25,1513.65,0.01,0,0,0,0.00,0,F1,1100,,,,,
2026-09-17,2026-09-17,FO,NSE,IDO,64894,,NIFTYFPI,,2026-11-23,2026-11-23,1615.00,CE,NIFTYFPI26NOV1615CE,0.00,0.00,0.00,49.25,0.00,49.25,1513.65,14.20,0,0,0,0.00,0,F1,1100,,,,,
2026-09-17,2026-09-17,FO,NSE,IDO,64878,,NIFTYFPI,,2026-11-23,2026-11-23,1595.00,CE,NIFTYFPI26NOV1595CE,0.00,0.00,0.00,58.95,0.00,58.95,1513.65,18.95,0,0,0,0.00,0,F1,1100,,,,,
2026-09-17,2026-09-17,FO,NSE,IDO,64876,,NIFTYFPI,,2026-11-23,2026-11-23,1590.00,CE,NIFTYFPI26NOV1590CE,0.00,0.00,0.00,61.55,0.00,61.55,1513.65,20.32,0,0,0,0.00,0,F1,1100,,,,,
2026-09-17,2026-09-17,FO,NSE,IDO,64849,,NIFTYFPI,,2026-11-23,2026-11-23,1530.00,CE,NIFTYFPI26NOV1530CE,0.00,0.00,0.00,98.40,0.00,98.40,1513.65,43.11,0,0,0,0.00,0,F1,1100,,,,,
2026-09-17,2026-09-17,FO,NSE,IDO,64845,,NIFTYFPI,,2026-11-23,2026-11-23,1520.00,CE,NIFTYFPI26NOV1520CE,0.00,0.00,0.00,105.60,0.00,105.60,1513.65,48.15,0,0,0,0.00,0,F1,1100,,,,,
2026-09-17,2026-09-17,FO,NSE,IDO,64783,,NIFTYFPI,,2026-11-23,2026-11-23,1395.00,CE,NIFTYFPI26NOV1395CE,0.00,0.00,0.00,211.65,0.00,211.65,1513.65,139.14,0,0,0,0.00,0,F1,1100,,,,,
2026-09-17,2026-09-17,FO,NSE,IDO,64769,,NIFTYFPI,,2026-11-23,2026-11-23,1370.00,CE,NIFTYFPI26NOV1370CE,0.00,0.00,0.00,235.30,0.00,235.30,1513.65,161.90,0,0,0,0.00,0,F1,1100,,,,,
2026-09-17,2026-09-17,FO,NSE,IDO,49813,,NIFTYFPI,,2026-10-27,2026-10-27,1700.00,CE,NIFTYFPI26OCT1700CE,0.00,0.00,0.00,18.95,0.00,18.95,1513.65,0.72,0,0,0,0.00,0,F1,1100,,,,,
2026-09-17,2026-09-17,FO,NSE,IDO,49759,,NIFTYFPI,,2026-10-27,2026-10-27,1675.00,CE,NIFTYFPI26OCT1675CE,0.00,0.00,0.00,25.40,0.00,25.40,1513.65,1.45,0,0,0,0.00,0,F1,1100,,,,,
2026-09-17,2026-09-17,FO,NSE,IDO,49636,,NIFTYFPI,,2026-10-27,2026-10-27,1640.00,CE,NIFTYFPI26OCT1640CE,0.00,0.00,0.00,37.25,0.00,37.25,1513.65,3.52,0,0,0,0.00,0,F1,1100,,,,,
2026-09-17,2026-09-17,FO,NSE,IDO,49339,,NIFTYFPI,,2026-10-27,2026-10-27,1525.00,CE,NIFTYFPI26OCT1525CE,0.00,0.00,0.00,102.15,0.00,102.15,1513.65,32.41,0,0,0,0.00,0,F1,1100,,,,,
