TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-09-18,2026-09-18,FO,NSE,STO,80237,,BLUESTARCO,,2026-10-27,2026-10-27,1460.00,PE,BLUESTARCO26OCT1460PE,0.00,0.00,0.00,67.10,67.10,67.10,1531.80,44.39,325,0,0,0.00,0,F1,325,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,59292,,BLUESTARCO,,2026-10-27,2026-10-27,1400.00,PE,BLUESTARCO26OCT1400PE,16.65,18.55,14.00,16.70,18.15,16.65,1531.80,16.70,15275,9750,52,23923558.75,34,F1,325,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,80503,,BLUESTARCO,,2026-11-23,2026-11-23,1480.00,CE,BLUESTARCO26NOV1480CE,0.00,0.00,0.00,148.60,0.00,148.60,1531.80,140.53,0,0,0,0.00,0,F1,325,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,59062,,BLUESTARCO,,2026-09-29,2026-09-29,1260.00,CE,BLUESTARCO26SEP1260CE,0.00,0.00,0.00,403.30,0.00,403.30,1531.80,274.12,0,0,0,0.00,0,F1,325,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,92757,,BLUESTARCO,,2026-09-29,2026-09-29,1760.00,CE,BLUESTARCO26SEP1760CE,0.30,1.10,0.10,0.40,0.40,3.25,1531.80,1.11,650,325,23,13160793.75,7,F1,325,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,59295,,BLUESTARCO,,2026-10-27,2026-10-27,1480.00,CE,BLUESTARCO26OCT1480CE,0.00,0.00,0.00,240.20,0.00,240.20,1531.80,113.77,0,0,0,0.00,0,F1,325,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,92720,,BLUESTARCO,,2026-09-29,2026-09-29,1240.00,PE,BLUESTARCO26SEP1240PE,0.00,0.00,0.00,10.50,0.00,10.50,1531.80,0.03,0,0,0,0.00,0,F1,325,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,92766,,BLUESTARCO,,2026-09-29,2026-09-29,1800.00,PE,BLUESTARCO26SEP1800PE,0.00,0.00,0.00,261.35,261.35,261.35,1531.80,265.45,1625,0,0,0.00,0,F1,325,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,80235,,BLUESTARCO,,2026-10-27,2026-10-27,1420.00,PE,BLUESTARCO26OCT1420PE,0.00,0.00,0.00,51.75,0.00,51.75,1531.80,31.52,0,0,0,0.00,0,F1,325,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,59353,,BLUESTARCO,,2026-10-27,2026-10-27,1680.00,PE,BLUESTARCO26OCT1680PE,0.00,0.00,0.00,137.50,0.00,137.50,1531.80,169.90,0,0,0,0.00,0,F1,325,,,,,
