TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-09-18,2026-09-18,FO,NSE,STO,65990,,COCHINSHIP,,2026-09-29,2026-09-29,1180.00,CE,COCHINSHIP26SEP1180CE,0.00,0.00,0.00,248.45,0.00,248.45,1397.90,221.12,0,0,0,0.00,0,F1,400,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,84815,,COCHINSHIP,,2026-10-27,2026-10-27,1420.00,CE,COCHINSHIP26OCT1420CE,0.00,0.00,0.00,185.95,0.00,185.95,1397.90,86.66,0,0,0,0.00,0,F1,400,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,66301,,COCHINSHIP,,2026-10-27,2026-10-27,1280.00,CE,COCHINSHIP26OCT1280CE,0.00,0.00,0.00,205.15,0.00,205.15,1397.90,165.47,0,0,0,0.00,0,F1,400,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,84810,,COCHINSHIP,,2026-10-27,2026-10-27,1300.00,PE,COCHINSHIP26OCT1300PE,29.50,30.50,27.00,28.95,30.40,44.00,1397.90,28.95,21600,12000,37,19662260.00,27,F1,400,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,66312,,COCHINSHIP,,2026-10-27,2026-10-27,1400.00,PE,COCHINSHIP26OCT1400PE,86.70,86.70,72.00,72.00,72.00,99.65,1397.90,72.00,16400,4000,25,14741240.00,15,F1,400,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,84909,,COCHINSHIP,,2026-11-23,2026-11-23,1360.00,PE,COCHINSHIP26NOV1360PE,0.00,0.00,0.00,69.40,0.00,69.40,1397.90,93.03,0,0,0,0.00,0,F1,400,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,84923,,COCHINSHIP,,2026-11-23,2026-11-23,1640.00,PE,COCHINSHIP26NOV1640PE,0.00,0.00,0.00,208.25,0.00,208.25,1397.90,270.83,0,0,0,0.00,0,F1,400,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,66216,,COCHINSHIP,,2026-09-29,2026-09-29,1700.00,PE,COCHINSHIP26SEP1700PE,0.00,0.00,0.00,220.50,220.50,220.50,1397.90,299.73,32000,0,0,0.00,0,F1,400,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,85027,,COCHINSHIP,,2026-11-23,2026-11-23,1760.00,CE,COCHINSHIP26NOV1760CE,0.00,0.00,0.00,75.30,0.00,75.30,1397.90,27.23,0,0,0,0.00,0,F1,400,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,84843,,COCHINSHIP,,2026-10-27,2026-10-27,1660.00,CE,COCHINSHIP26OCT1660CE,0.00,0.00,0.00,7.50,7.50,7.50,1397.90,21.17,400,0,0,0.00,0,F1,400,,,,,
