TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-09-18,2026-09-18,FO,NSE,STO,67709,,DABUR,,2026-09-29,2026-09-29,405.00,PE,DABUR26SEP405PE,19.85,19.85,16.55,17.50,17.00,20.45,394.98,17.50,267500,8750,11,5821062.50,11,F1,1250,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,99321,,DABUR,,2026-09-29,2026-09-29,480.00,PE,DABUR26SEP480PE,0.00,0.00,0.00,82.00,82.00,82.00,394.98,84.16,6250,0,0,0.00,0,F1,1250,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,67699,,DABUR,,2026-09-29,2026-09-29,355.00,PE,DABUR26SEP355PE,0.15,0.20,0.15,0.15,0.15,0.25,394.98,0.15,150000,-12500,49,21753125.00,18,F1,1250,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,99291,,DABUR,,2026-09-29,2026-09-29,340.00,PE,DABUR26SEP340PE,0.15,0.25,0.10,0.15,0.10,0.15,394.98,0.15,146250,37500,62,26365375.00,26,F1,1250,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,86855,,DABUR,,2026-10-27,2026-10-27,435.00,PE,DABUR26OCT435PE,0.00,0.00,0.00,41.60,0.00,41.60,394.98,40.10,0,0,0,0.00,0,F1,1250,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,86849,,DABUR,,2026-10-27,2026-10-27,405.00,PE,DABUR26OCT405PE,20.75,20.75,20.75,20.75,20.75,20.75,394.98,18.08,3750,0,2,1064375.00,1,F1,1250,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,67804,,DABUR,,2026-10-27,2026-10-27,340.00,PE,DABUR26OCT340PE,0.00,0.00,0.00,0.95,0.00,0.95,394.98,0.51,0,0,0,0.00,0,F1,1250,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,99319,,DABUR,,2026-09-29,2026-09-29,470.00,PE,DABUR26SEP470PE,0.00,0.00,0.00,73.00,73.00,73.00,394.98,74.18,13750,0,0,0.00,0,F1,1250,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,87009,,DABUR,,2026-11-23,2026-11-23,320.00,CE,DABUR26NOV320CE,0.00,0.00,0.00,80.80,0.00,80.80,394.98,79.05,0,0,0,0.00,0,F1,1250,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,67713,,DABUR,,2026-09-29,2026-09-29,425.00,PE,DABUR26SEP425PE,0.00,0.00,0.00,54.85,54.85,54.85,394.98,29.81,61250,0,0,0.00,0,F1,1250,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,99303,,DABUR,,2026-09-29,2026-09-29,390.00,PE,DABUR26SEP390PE,8.80,8.80,4.55,5.80,5.45,8.30,394.98,5.80,721250,-22500,425,210794125.00,409,F1,1250,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,99295,,DABUR,,2026-09-29,2026-09-29,350.00,PE,DABUR26SEP350PE,0.15,0.25,0.15,0.15,0.15,0.20,394.98,0.15,380000,3750,55,24077000.00,25,F1,1250,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,87047,,DABUR,,2026-11-23,2026-11-23,400.00,CE,DABUR26NOV400CE,10.50,10.50,9.60,9.60,9.60,9.00,394.98,17.99,20000,3750,3,1537625.00,3,F1,1250,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,87023,,DABUR,,2026-11-23,2026-11-23,330.00,CE,DABUR26NOV330CE,0.00,0.00,0.00,71.65,0.00,71.65,394.98,69.58,0,0,0,0.00,0,F1,1250,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,87051,,DABUR,,2026-11-23,2026-11-23,410.00,PE,DABUR26NOV410PE,0.00,0.00,0.00,26.50,0.00,26.50,394.98,24.09,0,0,0,0.00,0,F1,1250,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,87049,,DABUR,,2026-11-23,2026-11-23,400.00,PE,DABUR26NOV400PE,0.00,0.00,0.00,21.00,0.00,21.00,394.98,18.46,0,0,0,0.00,0,F1,1250,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,87044,,DABUR,,2026-11-23,2026-11-23,380.00,PE,DABUR26NOV380PE,0.00,0.00,0.00,14.30,14.30,14.30,394.98,9.76,3750,0,0,0.00,0,F1,1250,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,87034,,DABUR,,2026-11-23,2026-11-23,370.00,PE,DABUR26NOV370PE,5.55,5.80,5.55,5.80,5.80,7.00,394.98,5.80,45000,3750,3,1408937.50,2,F1,1250,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,67839,,DABUR,,2026-10-27,2026-10-27,430.00,PE,DABUR26OCT430PE,0.00,0.00,0.00,45.00,45.00,45.00,394.98,35.94,1250,0,0,0.00,0,F1,1250,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,86847,,DABUR,,2026-10-27,2026-10-27,395.00,PE,DABUR26OCT395PE,14.00,14.00,13.60,13.60,13.60,14.60,394.98,12.68,3750,0,3,1533250.00,2,F1,1250,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,67819,,DABUR,,2026-10-27,2026-10-27,390.00,PE,DABUR26OCT390PE,11.50,11.50,9.15,10.30,9.15,11.50,394.98,10.30,30000,5000,12,6008750.00,12,F1,1250,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,99301,,DABUR,,2026-09-29,2026-09-29,380.00,PE,DABUR26SEP380PE,3.00,3.55,1.30,2.00,1.80,3.25,394.98,2.00,955000,-83750,1713,818669500.00,851,F1,1250,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,67703,,DABUR,,2026-09-29,2026-09-29,375.00,PE,DABUR26SEP375PE,1.80,1.95,0.70,1.10,0.95,1.85,394.98,1.10,550000,21250,384,180568750.00,241,F1,1250,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,99297,,DABUR,,2026-09-29,2026-09-29,360.00,PE,DABUR26SEP360PE,0.25,0.25,0.15,0.20,0.15,0.25,394.98,0.20,1570000,-40000,297,133725937.50,103,F1,1250,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,45456,,DABUR,,2026-09-29,2026-09-29,310.00,PE,DABUR26SEP310PE,0.00,0.00,0.00,0.05,0.00,0.05,394.98,0.00,0,0,0,0.00,0,F1,1250,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,87036,,DABUR,,2026-11-23,2026-11-23,380.00,CE,DABUR26NOV380CE,0.00,0.00,0.00,32.90,0.00,32.90,394.98,29.06,0,0,0,0.00,0,F1,1250,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,86854,,DABUR,,2026-10-27,2026-10-27,435.00,CE,DABUR26OCT435CE,0.00,0.00,0.00,6.20,0.00,6.20,394.98,3.01,0,0,0,0.00,0,F1,1250,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,86833,,DABUR,,2026-10-27,2026-10-27,335.00,CE,DABUR26OCT335CE,0.00,0.00,0.00,64.70,0.00,64.70,394.98,62.57,0,0,0,0.00,0,F1,1250,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,99312,,DABUR,,2026-09-29,2026-09-29,440.00,CE,DABUR26SEP440CE,0.15,0.25,0.15,0.25,0.25,0.15,394.98,0.08,222500,-6250,9,4952250.00,8,F1,1250,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,67714,,DABUR,,2026-09-29,2026-09-29,435.00,CE,DABUR26SEP435CE,0.30,0.30,0.30,0.30,0.30,0.25,394.98,0.16,37500,0,4,2176500.00,3,F1,1250,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,67725,,DABUR,,2026-09-29,2026-09-29,465.00,PE,DABUR26SEP465PE,0.00,0.00,0.00,64.00,64.00,64.00,394.98,69.19,7500,0,0,0.00,0,F1,1250,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,67708,,DABUR,,2026-09-29,2026-09-29,405.00,CE,DABUR26SEP405CE,0.90,1.35,0.70,1.00,1.15,0.90,394.98,1.00,681250,-6250,366,185719937.50,170,F1,1250,,,,,
2026-09-18,2026-09-18,FO,NSE,STF,61555,,DABUR,,2026-11-23,2026-11-23,,,DABUR26NOVFUT,387.70,390.95,387.30,390.55,390.40,387.30,394.98,390.55,770000,-2500,65,31645250.00,58,F1,1250,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,67696,,DABUR,,2026-09-29,2026-09-29,345.00,CE,DABUR26SEP345CE,0.00,0.00,0.00,30.30,30.30,30.30,394.98,50.60,0,0,0,0.00,0,F1,1250,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,67702,,DABUR,,2026-09-29,2026-09-29,375.00,CE,DABUR26SEP375CE,13.40,15.15,13.00,14.45,15.00,13.40,394.98,14.45,255000,-2500,42,20434625.00,42,F1,1250,,,,,
