TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-09-18,2026-09-18,FO,NSE,STO,88488,,DLF,,2026-10-27,2026-10-27,730.00,PE,DLF26OCT730PE,0.00,0.00,0.00,66.45,0.00,66.45,644.28,88.22,0,0,0,0.00,0,F1,950,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,100638,,DLF,,2026-09-29,2026-09-29,740.00,PE,DLF26SEP740PE,0.00,0.00,0.00,94.90,94.90,94.90,644.28,94.69,90250,0,0,0.00,0,F1,950,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,100585,,DLF,,2026-09-29,2026-09-29,540.00,CE,DLF26SEP540CE,0.00,0.00,0.00,101.00,0.00,101.00,644.28,105.28,0,0,0,0.00,0,F1,950,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,88653,,DLF,,2026-11-23,2026-11-23,720.00,PE,DLF26NOV720PE,0.00,0.00,0.00,66.25,0.00,66.25,644.28,84.90,0,0,0,0.00,0,F1,950,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,69171,,DLF,,2026-10-27,2026-10-27,680.00,PE,DLF26OCT680PE,41.00,41.25,38.00,38.00,38.00,62.00,644.28,50.07,15200,6650,12,8194842.50,7,F1,950,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,88475,,DLF,,2026-10-27,2026-10-27,650.00,PE,DLF26OCT650PE,21.00,21.00,19.60,20.25,20.25,25.00,644.28,20.25,95000,26600,50,31832457.50,29,F1,950,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,69165,,DLF,,2026-10-27,2026-10-27,620.00,PE,DLF26OCT620PE,10.55,10.85,9.00,9.70,9.45,12.15,644.28,9.70,51300,28500,48,28737452.50,36,F1,950,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,69129,,DLF,,2026-09-29,2026-09-29,710.00,PE,DLF26SEP710PE,0.00,0.00,0.00,33.90,33.90,33.90,644.28,65.84,42750,0,0,0.00,0,F1,950,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,69123,,DLF,,2026-09-29,2026-09-29,650.00,PE,DLF26SEP650PE,13.95,14.55,9.40,11.10,10.30,15.95,644.28,11.10,1015550,382850,2955,1855703115.00,2427,F1,950,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,69115,,DLF,,2026-09-29,2026-09-29,570.00,PE,DLF26SEP570PE,0.00,0.00,0.00,8.10,0.00,8.10,644.28,0.42,0,0,0,0.00,0,F1,950,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,88654,,DLF,,2026-11-23,2026-11-23,740.00,CE,DLF26NOV740CE,0.00,0.00,0.00,32.85,0.00,32.85,644.28,13.12,0,0,0,0.00,0,F1,950,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,69180,,DLF,,2026-10-27,2026-10-27,760.00,CE,DLF26OCT760CE,2.45,2.75,2.45,2.55,2.55,2.35,644.28,3.91,151050,950,12,8693355.00,10,F1,950,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,100596,,DLF,,2026-09-29,2026-09-29,640.00,PE,DLF26SEP640PE,8.65,9.70,5.70,6.85,6.25,10.50,644.28,6.85,816050,234650,2218,1363395160.00,1661,F1,950,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,69163,,DLF,,2026-10-27,2026-10-27,600.00,PE,DLF26OCT600PE,6.20,6.45,5.30,5.70,5.70,7.20,644.28,5.70,262200,28500,93,53518630.00,76,F1,950,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,69118,,DLF,,2026-09-29,2026-09-29,610.00,CE,DLF26SEP610CE,39.75,42.00,39.75,40.20,40.20,35.35,644.28,40.20,75050,-950,7,4325682.50,6,F1,950,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,88482,,DLF,,2026-10-27,2026-10-27,710.00,CE,DLF26OCT710CE,6.00,6.00,6.00,6.00,6.00,6.20,644.28,10.99,8550,0,1,680200.00,1,F1,950,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,69132,,DLF,,2026-09-29,2026-09-29,750.00,CE,DLF26SEP750CE,0.30,0.30,0.30,0.30,0.30,0.40,644.28,0.16,109250,-1900,2,1425570.00,2,F1,950,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,100589,,DLF,,2026-09-29,2026-09-29,580.00,CE,DLF26SEP580CE,0.00,0.00,0.00,73.40,0.00,73.40,644.28,66.14,0,0,0,0.00,0,F1,950,,,,,
2026-09-18,2026-09-18,FO,NSE,STF,61561,,DLF,,2026-11-23,2026-11-23,,,DLF26NOVFUT,651.00,658.75,651.00,655.50,655.50,648.75,644.28,655.50,162450,10450,31,19330125.00,27,F1,950,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,69164,,DLF,,2026-10-27,2026-10-27,620.00,CE,DLF26OCT620CE,43.50,43.50,43.50,43.50,43.50,37.10,644.28,46.98,7600,0,2,1260650.00,2,F1,950,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,88607,,DLF,,2026-11-23,2026-11-23,580.00,CE,DLF26NOV580CE,0.00,0.00,0.00,122.30,0.00,122.30,644.28,83.93,0,0,0,0.00,0,F1,950,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,88614,,DLF,,2026-11-23,2026-11-23,620.00,CE,DLF26NOV620CE,0.00,0.00,0.00,92.75,0.00,92.75,644.28,57.41,0,0,0,0.00,0,F1,950,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,88648,,DLF,,2026-11-23,2026-11-23,700.00,CE,DLF26NOV700CE,0.00,0.00,0.00,48.00,0.00,48.00,644.28,22.63,0,0,0,0.00,0,F1,950,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,100592,,DLF,,2026-09-29,2026-09-29,600.00,PE,DLF26SEP600PE,1.35,1.35,0.80,0.90,0.85,1.55,644.28,0.90,749550,-27550,323,184424355.00,216,F1,950,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,100597,,DLF,,2026-09-29,2026-09-29,660.00,CE,DLF26SEP660CE,5.70,8.65,5.20,6.15,6.40,5.20,644.28,6.15,1135250,-94050,3634,2302934805.00,2912,F1,950,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,69157,,DLF,,2026-10-27,2026-10-27,540.00,PE,DLF26OCT540PE,0.00,0.00,0.00,7.25,0.00,7.25,644.28,2.11,0,0,0,0.00,0,F1,950,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,100639,,DLF,,2026-09-29,2026-09-29,760.00,CE,DLF26SEP760CE,0.20,0.30,0.15,0.25,0.25,0.20,644.28,0.09,142500,-9500,20,14444370.00,18,F1,950,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,69131,,DLF,,2026-09-29,2026-09-29,730.00,PE,DLF26SEP730PE,0.00,0.00,0.00,50.70,50.70,50.70,644.28,84.91,12350,0,0,0.00,0,F1,950,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,100645,,DLF,,2026-09-29,2026-09-29,760.00,PE,DLF26SEP760PE,0.00,0.00,0.00,86.25,86.25,86.25,644.28,114.45,5700,0,0,0.00,0,F1,950,,,,,
