TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-09-18,2026-09-18,FO,NSE,IDO,65499,,NIFTYNXT50,,2026-11-23,2026-11-23,68400.00,PE,NIFTYNXT5026NOV68400PE,0.00,0.00,0.00,680.70,0.00,680.70,72025.40,866.06,0,0,0,0.00,0,F1,25,,,,,
2026-09-18,2026-09-18,FO,NSE,IDO,65497,,NIFTYNXT50,,2026-11-23,2026-11-23,68300.00,PE,NIFTYNXT5026NOV68300PE,0.00,0.00,0.00,662.75,0.00,662.75,72025.40,841.41,0,0,0,0.00,0,F1,25,,,,,
2026-09-18,2026-09-18,FO,NSE,IDO,65487,,NIFTYNXT50,,2026-11-23,2026-11-23,67800.00,PE,NIFTYNXT5026NOV67800PE,0.00,0.00,0.00,578.35,0.00,578.35,72025.40,725.79,0,0,0,0.00,0,F1,25,,,,,
2026-09-18,2026-09-18,FO,NSE,IDO,65475,,NIFTYNXT50,,2026-11-23,2026-11-23,67200.00,PE,NIFTYNXT5026NOV67200PE,0.00,0.00,0.00,488.20,0.00,488.20,72025.40,603.06,0,0,0,0.00,0,F1,25,,,,,
2026-09-18,2026-09-18,FO,NSE,IDO,65443,,NIFTYNXT50,,2026-11-23,2026-11-23,66200.00,PE,NIFTYNXT5026NOV66200PE,0.00,0.00,0.00,362.45,0.00,362.45,72025.40,434.10,0,0,0,0.00,0,F1,25,,,,,
2026-09-18,2026-09-18,FO,NSE,IDO,65439,,NIFTYNXT50,,2026-11-23,2026-11-23,66000.00,PE,NIFTYNXT5026NOV66000PE,0.00,0.00,0.00,340.65,0.00,340.65,72025.40,405.21,0,0,0,0.00,0,F1,25,,,,,
2026-09-18,2026-09-18,FO,NSE,IDO,65423,,NIFTYNXT50,,2026-11-23,2026-11-23,65200.00,PE,NIFTYNXT5026NOV65200PE,0.00,0.00,0.00,263.70,0.00,263.70,72025.40,304.31,0,0,0,0.00,0,F1,25,,,,,
2026-09-18,2026-09-18,FO,NSE,IDO,65411,,NIFTYNXT50,,2026-11-23,2026-11-23,64600.00,PE,NIFTYNXT5026NOV64600PE,0.00,0.00,0.00,215.70,0.00,215.70,72025.40,242.61,0,0,0,0.00,0,F1,25,,,,,
2026-09-18,2026-09-18,FO,NSE,IDO,65229,,NIFTYNXT50,,2026-11-23,2026-11-23,61500.00,PE,NIFTYNXT5026NOV61500PE,0.00,0.00,0.00,66.85,0.00,66.85,72025.40,62.98,0,0,0,0.00,0,F1,25,,,,,
2026-09-18,2026-09-18,FO,NSE,IDO,52307,,NIFTYNXT50,,2026-10-27,2026-10-27,79500.00,PE,NIFTYNXT5026OCT79500PE,0.00,0.00,0.00,7300.00,0.00,7300.00,72025.40,7149.75,0,0,0,0.00,0,F1,25,,,,,
