TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-09-18,2026-09-18,FO,NSE,STO,125022,,PREMIERENE,,2026-11-23,2026-11-23,960.00,CE,PREMIERENE26NOV960CE,0.00,0.00,0.00,137.40,0.00,137.40,902.00,46.38,0,0,0,0.00,0,F1,650,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,105366,,PREMIERENE,,2026-10-27,2026-10-27,1120.00,PE,PREMIERENE26OCT1120PE,0.00,0.00,0.00,141.65,0.00,141.65,902.00,214.65,0,0,0,0.00,0,F1,650,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,105367,,PREMIERENE,,2026-10-27,2026-10-27,1160.00,CE,PREMIERENE26OCT1160CE,0.00,0.00,0.00,3.30,3.30,3.30,902.00,2.36,1300,0,0,0.00,0,F1,650,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,124977,,PREMIERENE,,2026-10-27,2026-10-27,940.00,PE,PREMIERENE26OCT940PE,68.00,79.00,62.55,62.55,62.55,60.00,902.00,68.74,9750,5200,14,9218722.50,14,F1,650,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,105173,,PREMIERENE,,2026-09-29,2026-09-29,1020.00,PE,PREMIERENE26SEP1020PE,125.25,125.25,117.00,118.85,119.80,131.30,902.00,118.85,191750,-1300,4,2965170.00,4,F1,650,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,141943,,PREMIERENE,,2026-09-29,2026-09-29,880.00,PE,PREMIERENE26SEP880PE,16.15,18.55,6.65,7.85,9.25,16.10,902.00,7.85,547300,75400,1798,1041066617.50,1437,F1,650,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,125008,,PREMIERENE,,2026-11-23,2026-11-23,720.00,CE,PREMIERENE26NOV720CE,0.00,0.00,0.00,329.60,0.00,329.60,902.00,196.90,0,0,0,0.00,0,F1,650,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,105378,,PREMIERENE,,2026-10-27,2026-10-27,1200.00,CE,PREMIERENE26OCT1200CE,1.00,1.45,1.00,1.40,1.40,2.00,902.00,1.29,39650,5200,9,7027930.00,9,F1,650,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,124982,,PREMIERENE,,2026-10-27,2026-10-27,1060.00,CE,PREMIERENE26OCT1060CE,0.00,0.00,0.00,68.35,0.00,68.35,902.00,9.37,0,0,0,0.00,0,F1,650,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,105228,,PREMIERENE,,2026-10-27,2026-10-27,720.00,CE,PREMIERENE26OCT720CE,0.00,0.00,0.00,311.55,0.00,311.55,902.00,189.16,0,0,0,0.00,0,F1,650,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,105342,,PREMIERENE,,2026-10-27,2026-10-27,880.00,PE,PREMIERENE26OCT880PE,30.00,30.00,28.55,28.55,28.55,15.00,902.00,36.98,5850,5200,10,5914057.50,3,F1,650,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,125031,,PREMIERENE,,2026-11-23,2026-11-23,1120.00,PE,PREMIERENE26NOV1120PE,0.00,0.00,0.00,129.10,0.00,129.10,902.00,217.25,0,0,0,0.00,0,F1,650,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,105163,,PREMIERENE,,2026-09-29,2026-09-29,940.00,PE,PREMIERENE26SEP940PE,51.45,61.10,38.60,41.10,41.60,56.90,902.00,41.10,451750,-257400,927,598488670.00,458,F1,650,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,125032,,PREMIERENE,,2026-11-23,2026-11-23,1160.00,CE,PREMIERENE26NOV1160CE,0.00,0.00,0.00,49.30,0.00,49.30,902.00,8.20,0,0,0,0.00,0,F1,650,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,125030,,PREMIERENE,,2026-11-23,2026-11-23,1120.00,CE,PREMIERENE26NOV1120CE,0.00,0.00,0.00,61.70,0.00,61.70,902.00,11.98,0,0,0,0.00,0,F1,650,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,125024,,PREMIERENE,,2026-11-23,2026-11-23,1000.00,CE,PREMIERENE26NOV1000CE,0.00,0.00,0.00,114.25,0.00,114.25,902.00,33.92,0,0,0,0.00,0,F1,650,,,,,
2026-09-18,2026-09-18,FO,NSE,STO,125016,,PREMIERENE,,2026-11-23,2026-11-23,840.00,CE,PREMIERENE26NOV840CE,0.00,0.00,0.00,223.65,0.00,223.65,902.00,105.12,0,0,0,0.00,0,F1,650,,,,,
